nameTeam,isWin,fgmTeam,fg3mTeam,fgaTeam,fg3aTeam,ftaTeam,ftmTeam,plusminusTeam
LA Clippers,FALSE,31,9,87,41,13,8,-13
Cleveland Cavaliers,TRUE,33,3,81,20,27,23,13
Portland Trail Blazers,TRUE,39,15,84,36,31,23,20
Memphis Grizzlies,FALSE,35,17,96,50,19,9,-20
Washington Wizards,TRUE,43,9,84,25,29,21,9
Boston Celtics,FALSE,37,10,85,29,28,23,-9
Phoenix Suns,FALSE,42,6,93,22,24,17,-3
Sacramento Kings,TRUE,42,15,95,38,15,11,3
Oklahoma City Thunder,TRUE,43,15,86,37,29,22,8
Los Angeles Lakers,FALSE,46,11,92,35,14,12,-8
Milwaukee Bucks,FALSE,39,14,95,51,21,16,-5
Minnesota Timberwolves,TRUE,43,13,91,45,17,14,5
Toronto Raptors,TRUE,46,14,100,30,19,12,18
Indiana Pacers,FALSE,38,10,79,29,17,14,-18
Atlanta Hawks,TRUE,40,8,96,30,17,14,3
New Orleans Pelicans,FALSE,40,11,93,36,9,8,-3
Brooklyn Nets,FALSE,33,14,85,43,14,13,-13
Miami Heat,TRUE,38,8,96,29,26,22,13
Orlando Magic,FALSE,43,15,88,40,13,10,-9
Charlotte Hornets,TRUE,43,14,83,30,24,20,9
Memphis Grizzlies,TRUE,39,12,97,48,14,14,3
Golden State Warriors,FALSE,39,14,90,40,12,9,-3
Dallas Mavericks,TRUE,41,18,89,45,13,4,5
San Antonio Spurs,FALSE,39,12,88,30,15,9,-5
New York Knicks,TRUE,39,11,85,29,20,15,1
Chicago Bulls,FALSE,36,11,84,32,22,20,-1
Utah Jazz,TRUE,41,16,85,46,30,24,31
Houston Rockets,FALSE,31,9,95,44,23,20,-31
Detroit Pistons,FALSE,35,13,86,39,27,19,-8
Philadelphia 76ers,TRUE,38,12,76,27,24,22,8
Atlanta Hawks,FALSE,48,6,88,21,14,9,-11
Washington Wizards,TRUE,46,13,99,34,21,17,11
Cleveland Cavaliers,FALSE,37,12,87,34,22,15,-12
Los Angeles Lakers,TRUE,46,12,84,27,10,9,12
Dallas Mavericks,FALSE,23,8,78,37,27,21,-31
Denver Nuggets,TRUE,43,11,83,36,13,9,31
LA Clippers,FALSE,34,15,87,42,16,9,-19
Portland Trail Blazers,TRUE,41,19,98,41,16,10,19
Sacramento Kings,TRUE,40,9,80,27,25,24,4
New Orleans Pelicans,FALSE,42,9,98,34,25,16,-4
Brooklyn Nets,TRUE,34,6,76,26,41,31,7
Indiana Pacers,FALSE,37,8,93,29,23,16,-7
Charlotte Hornets,FALSE,35,13,90,37,22,16,-15
Miami Heat,TRUE,43,9,91,35,19,19,15
Orlando Magic,FALSE,41,16,87,34,16,11,-1
Toronto Raptors,TRUE,43,9,86,30,22,15,1
Phoenix Suns,TRUE,39,6,84,26,27,17,9
Cleveland Cavaliers,FALSE,36,14,91,44,7,6,-9
Denver Nuggets,TRUE,36,9,88,37,16,12,2
Minnesota Timberwolves,FALSE,35,13,89,41,9,8,-2
Oklahoma City Thunder,FALSE,29,8,83,39,21,16,-21
Golden State Warriors,TRUE,39,21,92,54,8,4,21
Milwaukee Bucks,FALSE,36,10,89,39,16,11,-9
San Antonio Spurs,TRUE,39,7,95,31,24,17,9
Philadelphia 76ers,TRUE,46,12,86,38,19,18,28
Atlanta Hawks,FALSE,36,8,95,22,19,14,-28
Utah Jazz,FALSE,35,11,92,38,19,18,-8
Chicago Bulls,TRUE,39,5,91,21,30,24,8
Indiana Pacers,FALSE,35,13,81,43,16,11,-3
Toronto Raptors,TRUE,39,11,92,32,12,8,3
Detroit Pistons,TRUE,36,14,89,43,30,24,7
Orlando Magic,FALSE,38,16,87,32,15,11,-7
New Orleans Pelicans,FALSE,42,11,92,33,24,22,-6
New York Knicks,TRUE,42,19,81,33,25,20,6
Boston Celtics,FALSE,44,2,107,26,25,22,-3
Washington Wizards,TRUE,38,10,104,36,36,29,3
Miami Heat,TRUE,46,21,88,37,19,16,26
Memphis Grizzlies,FALSE,34,16,88,50,21,19,-26
Charlotte Hornets,TRUE,46,20,89,42,21,13,12
Portland Trail Blazers,FALSE,43,17,97,54,11,10,-12
Milwaukee Bucks,FALSE,39,12,96,41,6,5,-12
Utah Jazz,TRUE,35,12,75,37,27,25,12
Dallas Mavericks,TRUE,40,12,90,37,20,13,6
Sacramento Kings,FALSE,38,7,96,36,20,16,-6
Los Angeles Lakers,TRUE,39,9,96,31,13,8,10
Houston Rockets,FALSE,32,6,76,28,29,15,-10
Brooklyn Nets,TRUE,47,13,72,25,16,10,26
Detroit Pistons,FALSE,32,12,79,33,22,15,-26
New York Knicks,FALSE,35,16,76,38,24,18,-9
Toronto Raptors,TRUE,43,14,99,42,14,13,9
LA Clippers,TRUE,35,15,92,42,19,14,5
Oklahoma City Thunder,FALSE,35,11,90,37,16,13,-5
Orlando Magic,TRUE,37,17,82,43,30,24,18
Minnesota Timberwolves,FALSE,36,14,97,51,19,11,-18
Denver Nuggets,FALSE,39,9,88,38,15,10,-9
Memphis Grizzlies,TRUE,44,13,97,34,7,5,9
Washington Wizards,FALSE,41,13,86,39,16,16,-7
Atlanta Hawks,TRUE,38,13,83,34,29,29,7
Chicago Bulls,TRUE,49,13,86,31,18,17,14
Boston Celtics,FALSE,42,15,96,33,20,15,-14
Cleveland Cavaliers,TRUE,39,9,90,28,38,26,3
Charlotte Hornets,FALSE,42,15,101,39,15,11,-3
Portland Trail Blazers,FALSE,40,12,84,34,18,11,-10
Philadelphia 76ers,TRUE,43,13,83,36,16,14,10
Indiana Pacers,TRUE,52,18,91,38,12,9,13
San Antonio Spurs,FALSE,47,14,89,28,14,10,-13
Dallas Mavericks,FALSE,37,14,84,42,31,22,-15
Miami Heat,TRUE,43,13,83,25,30,26,15
Milwaukee Bucks,TRUE,42,17,84,37,21,16,28
Detroit Pistons,FALSE,30,8,93,47,30,21,-28
Houston Rockets,FALSE,48,16,91,42,12,5,-2
Los Angeles Lakers,TRUE,49,6,93,25,20,15,2
Phoenix Suns,TRUE,43,9,82,26,18,17,12
New Orleans Pelicans,FALSE,36,13,91,39,16,15,-12
Sacramento Kings,FALSE,42,12,93,31,24,17,-6
Utah Jazz,TRUE,43,14,98,48,27,19,6
New York Knicks,FALSE,36,5,87,24,27,21,-13
Indiana Pacers,TRUE,42,16,91,41,14,11,13
Golden State Warriors,TRUE,42,18,86,45,18,12,22
Charlotte Hornets,FALSE,34,10,91,36,19,14,-22
San Antonio Spurs,FALSE,43,7,88,21,20,15,-1
Dallas Mavericks,TRUE,40,8,93,34,29,21,1
Minnesota Timberwolves,FALSE,43,14,94,40,16,15,-11
LA Clippers,TRUE,47,21,78,36,12,11,11
Denver Nuggets,FALSE,43,8,91,27,13,12,-2
Memphis Grizzlies,TRUE,42,16,81,34,14,8,2
Brooklyn Nets,TRUE,43,22,88,48,12,9,9
Atlanta Hawks,FALSE,41,13,94,35,15,13,-9
Chicago Bulls,FALSE,38,6,82,21,18,16,-5
Philadelphia 76ers,TRUE,38,12,77,28,21,15,5
Cleveland Cavaliers,TRUE,39,15,74,30,18,14,3
Portland Trail Blazers,FALSE,40,13,90,37,17,11,-3
Orlando Magic,FALSE,27,9,84,43,20,16,-13
Boston Celtics,TRUE,33,10,79,37,25,16,13
Toronto Raptors,TRUE,41,10,88,25,20,17,9
Washington Wizards,FALSE,34,8,78,32,30,24,-9
Sacramento Kings,TRUE,42,10,80,30,22,18,13
New Orleans Pelicans,FALSE,37,12,86,34,15,13,-13
