nameTeam,isWin,fgmTeam,fg3mTeam,fgaTeam,fg3aTeam,ftaTeam,ftmTeam,plusminusTeam
Indiana Pacers,FALSE,41,11,88,36,32,25,-3
Sacramento Kings,FALSE,32,9,84,37,25,16,-19
Toronto Raptors,TRUE,38,12,84,31,24,20,19
Oklahoma City Thunder,FALSE,32,12,91,48,21,13,-7
Milwaukee Bucks,TRUE,31,12,83,41,26,22,7
Utah Jazz,TRUE,46,17,91,39,17,14,18
Sacramento Kings,FALSE,41,10,91,31,21,13,-18
Portland Trail Blazers,TRUE,40,15,80,34,23,23,7
Philadelphia 76ers,FALSE,41,10,81,28,21,19,-7
Minnesota Timberwolves,TRUE,49,20,91,41,28,20,43
Memphis Grizzlies,FALSE,29,9,83,32,35,28,-43
Milwaukee Bucks,TRUE,37,19,82,40,37,24,9
Orlando Magic,FALSE,39,19,98,51,14,11,-9
Charlotte Hornets,FALSE,43,10,102,40,15,9,-10
Atlanta Hawks,TRUE,43,12,82,34,21,17,10
Miami Heat,FALSE,38,7,81,27,20,17,-3
Washington Wizards,TRUE,36,11,74,30,23,20,3
Boston Celtics,TRUE,41,17,88,39,14,12,6
Oklahoma City Thunder,FALSE,39,18,96,42,16,9,-6
Indiana Pacers,TRUE,42,14,91,38,18,13,17
New Orleans Pelicans,FALSE,35,6,88,18,19,18,-17
Houston Rockets,FALSE,38,10,84,39,22,13,-7
New York Knicks,TRUE,33,18,78,41,26,22,7
LA Clippers,TRUE,36,12,75,29,18,13,6
Dallas Mavericks,FALSE,34,6,83,30,18,17,-6
Detroit Pistons,FALSE,43,14,97,40,21,16,-5
Los Angeles Lakers,TRUE,45,10,92,31,27,21,5
Denver Nuggets,FALSE,33,11,90,38,28,20,-29
Phoenix Suns,TRUE,46,11,87,36,26,23,29
Toronto Raptors,FALSE,39,15,99,37,20,11,-15
Golden State Warriors,TRUE,39,22,79,45,24,19,15
New York Knicks,FALSE,35,7,84,27,31,26,-6
Chicago Bulls,TRUE,37,11,88,29,27,24,6
Washington Wizards,FALSE,36,9,94,37,27,22,-6
Charlotte Hornets,TRUE,40,15,91,31,24,14,6
Philadelphia 76ers,TRUE,36,9,85,32,27,21,8
Sacramento Kings,FALSE,33,7,80,31,29,21,-8
Boston Celtics,TRUE,39,12,92,35,19,18,18
Houston Rockets,FALSE,31,11,83,42,24,17,-18
Utah Jazz,FALSE,41,17,87,43,25,19,-1
Memphis Grizzlies,TRUE,42,13,95,35,27,22,1
Minnesota Timberwolves,TRUE,40,10,100,44,28,20,14
New Orleans Pelicans,FALSE,37,6,88,32,18,16,-14
San Antonio Spurs,FALSE,49,5,93,20,16,8,-4
Phoenix Suns,TRUE,45,12,88,27,16,13,4
Orlando Magic,FALSE,34,11,93,41,18,13,-31
Milwaukee Bucks,TRUE,44,18,94,45,24,17,31
Indiana Pacers,TRUE,40,13,90,31,18,16,32
Chicago Bulls,FALSE,31,6,85,28,15,9,-32
Oklahoma City Thunder,FALSE,39,10,97,38,14,13,-12
Atlanta Hawks,TRUE,42,14,87,34,16,15,12
Cleveland Cavaliers,FALSE,36,14,93,44,29,26,-5
Brooklyn Nets,TRUE,45,11,95,35,18,16,5
LA Clippers,FALSE,35,10,85,32,29,24,-8
Dallas Mavericks,TRUE,39,12,89,39,27,22,8
Denver Nuggets,FALSE,38,15,78,33,11,9,-19
Portland Trail Blazers,TRUE,45,15,88,39,20,14,19
New York Knicks,TRUE,37,15,82,34,21,17,6
Los Angeles Lakers,FALSE,34,11,91,36,30,21,-6
Detroit Pistons,FALSE,35,10,84,38,14,12,-8
Miami Heat,TRUE,35,9,76,29,29,21,8
Golden State Warriors,TRUE,42,15,80,38,24,17,20
Philadelphia 76ers,FALSE,34,8,80,28,22,20,-20
Portland Trail Blazers,FALSE,44,12,94,38,25,21,-4
Sacramento Kings,TRUE,45,12,86,33,34,23,4
Atlanta Hawks,TRUE,45,12,88,26,24,22,18
San Antonio Spurs,FALSE,43,12,100,33,10,8,-18
Washington Wizards,FALSE,36,7,84,31,36,23,-25
New Orleans Pelicans,TRUE,44,12,96,29,32,27,25
Minnesota Timberwolves,TRUE,38,18,93,55,21,19,12
Miami Heat,FALSE,33,15,74,42,29,20,-12
Houston Rockets,TRUE,42,17,84,36,22,17,5
Chicago Bulls,FALSE,44,15,96,35,12,10,-5
Memphis Grizzlies,FALSE,42,9,82,29,26,20,-13
Toronto Raptors,TRUE,47,14,89,30,21,18,13
Oklahoma City Thunder,FALSE,37,15,82,36,22,15,-6
Utah Jazz,TRUE,39,15,86,47,20,17,6
Milwaukee Bucks,TRUE,42,15,87,36,17,15,21
Detroit Pistons,FALSE,34,11,95,45,19,14,-21
Brooklyn Nets,TRUE,43,14,85,35,30,23,19
Boston Celtics,FALSE,34,11,91,48,28,25,-19
Orlando Magic,FALSE,38,15,93,42,10,8,-7
Charlotte Hornets,TRUE,39,12,93,40,21,16,7
Indiana Pacers,FALSE,42,13,104,46,24,19,-8
Los Angeles Lakers,TRUE,42,15,95,37,29,25,8
Cleveland Cavaliers,FALSE,43,12,97,39,25,17,-5
Phoenix Suns,TRUE,45,8,86,22,28,22,5
Los Angeles Lakers,FALSE,51,15,102,44,28,20,-4
Sacramento Kings,TRUE,54,14,120,45,29,19,4
Golden State Warriors,TRUE,47,12,87,37,16,12,15
Portland Trail Blazers,FALSE,36,13,86,38,23,18,-15
New Orleans Pelicans,TRUE,38,11,89,27,13,11,1
Utah Jazz,FALSE,36,13,80,33,18,12,-1
Milwaukee Bucks,TRUE,46,16,73,33,20,12,11
Denver Nuggets,FALSE,40,17,92,47,14,12,-11
Boston Celtics,FALSE,34,10,92,34,15,10,-8
San Antonio Spurs,TRUE,38,6,87,24,19,14,8
Washington Wizards,TRUE,38,10,79,29,15,15,2
Oklahoma City Thunder,FALSE,38,11,94,33,14,12,-2
Indiana Pacers,TRUE,47,11,97,39,11,9,17
Toronto Raptors,FALSE,37,7,89,30,22,16,-17
Memphis Grizzlies,FALSE,37,12,91,38,19,14,-32
Atlanta Hawks,TRUE,52,13,89,27,21,15,32
Orlando Magic,FALSE,30,7,80,32,30,21,-35
Chicago Bulls,TRUE,48,17,86,34,16,10,35
Minnesota Timberwolves,FALSE,45,11,100,35,19,14,-18
Charlotte Hornets,TRUE,49,23,88,40,15,12,18
Detroit Pistons,FALSE,33,8,90,33,26,22,-11
LA Clippers,TRUE,39,11,91,38,19,18,11
New York Knicks,FALSE,34,12,92,39,22,17,-21
Phoenix Suns,TRUE,44,13,79,28,21,17,21
Cleveland Cavaliers,TRUE,41,14,90,39,12,9,13
Orlando Magic,FALSE,35,8,88,32,23,14,-13
Brooklyn Nets,FALSE,42,7,84,23,21,16,-6
Phoenix Suns,TRUE,41,13,92,38,21,18,6
New York Knicks,TRUE,36,11,82,29,22,16,9
Atlanta Hawks,FALSE,33,9,93,37,20,15,-9
Philadelphia 76ers,FALSE,39,12,93,34,39,30,-1
Minnesota Timberwolves,TRUE,48,14,96,36,16,11,1
New Orleans Pelicans,FALSE,40,8,93,35,21,17,-22
Utah Jazz,TRUE,45,20,80,35,22,17,22
Dallas Mavericks,FALSE,42,14,89,38,22,16,-6
Washington Wizards,TRUE,45,9,78,24,26,21,6
Charlotte Hornets,FALSE,48,20,103,50,30,27,-3
Houston Rockets,TRUE,51,23,95,49,31,21,3
Chicago Bulls,FALSE,38,11,81,39,21,17,-3
Miami Heat,TRUE,37,14,86,40,22,19,3
LA Clippers,FALSE,32,9,80,28,25,17,-15
Golden State Warriors,TRUE,38,17,86,40,22,12,15
Detroit Pistons,FALSE,38,13,89,33,19,17,-4
Los Angeles Lakers,TRUE,43,9,86,32,25,15,4
Sacramento Kings,FALSE,33,9,97,42,37,26,-27
Memphis Grizzlies,TRUE,50,13,104,39,20,15,27
Toronto Raptors,FALSE,35,13,93,42,16,14,-12
Boston Celtics,TRUE,34,12,82,34,31,29,12
Milwaukee Bucks,TRUE,46,8,90,35,22,18,18
Indiana Pacers,FALSE,38,12,92,45,16,12,-18
LA Clippers,FALSE,37,14,72,36,21,16,-19
New Orleans Pelicans,TRUE,48,14,94,35,16,13,19
Portland Trail Blazers,FALSE,42,11,91,31,17,12,-22
Utah Jazz,TRUE,47,19,89,46,23,16,22
Chicago Bulls,TRUE,53,14,89,30,19,13,14
Charlotte Hornets,FALSE,42,18,88,39,21,17,-14
San Antonio Spurs,TRUE,49,8,92,18,16,10,17
Washington Wizards,FALSE,41,9,92,31,13,8,-17
Cleveland Cavaliers,TRUE,45,10,80,19,18,14,18
Dallas Mavericks,FALSE,39,12,89,39,15,6,-18
Miami Heat,FALSE,43,15,91,44,15,10,-9
Denver Nuggets,TRUE,43,18,74,35,21,16,9
Indiana Pacers,FALSE,36,9,91,37,21,17,-2
Minnesota Timberwolves,TRUE,36,9,82,35,26,19,2
Oklahoma City Thunder,FALSE,31,7,87,43,26,20,-13
Houston Rockets,TRUE,40,15,96,46,11,7,13
Orlando Magic,FALSE,37,8,90,33,18,14,-5
Philadelphia 76ers,TRUE,39,10,97,33,18,13,5
Los Angeles Lakers,TRUE,46,11,92,28,20,14,25
Sacramento Kings,FALSE,35,6,79,29,22,16,-25
Detroit Pistons,FALSE,29,9,76,35,30,25,-18
Portland Trail Blazers,TRUE,41,14,96,42,18,14,18
Phoenix Suns,TRUE,43,12,87,30,11,6,8
Golden State Warriors,FALSE,36,14,86,40,14,10,-8
New York Knicks,FALSE,44,11,91,32,12,11,-2
Brooklyn Nets,TRUE,41,8,85,28,25,22,2
Memphis Grizzlies,TRUE,36,10,93,34,19,16,7
Toronto Raptors,FALSE,36,10,91,39,12,9,-7
Sacramento Kings,TRUE,46,15,88,38,20,17,9
LA Clippers,FALSE,47,9,100,31,16,12,-9
Milwaukee Bucks,TRUE,46,14,94,36,26,21,2
Charlotte Hornets,FALSE,43,21,87,51,21,18,-2
Houston Rockets,TRUE,40,15,79,37,22,19,4
Oklahoma City Thunder,FALSE,40,8,85,32,29,22,-4
New Orleans Pelicans,FALSE,40,13,89,37,16,14,-32
Dallas Mavericks,TRUE,57,18,83,34,9,7,32
Philadelphia 76ers,FALSE,33,8,89,31,17,13,-1
Boston Celtics,TRUE,33,11,79,28,15,11,1
Miami Heat,FALSE,32,12,85,37,13,9,-26
Cleveland Cavaliers,TRUE,37,16,68,31,23,21,26
Washington Wizards,TRUE,45,10,91,32,21,15,8
Minnesota Timberwolves,FALSE,37,11,88,37,26,22,-8
Denver Nuggets,FALSE,39,10,80,34,21,15,-5
Orlando Magic,TRUE,44,6,81,27,19,14,5
Atlanta Hawks,TRUE,44,16,86,33,12,10,3
Indiana Pacers,FALSE,44,10,90,33,16,13,-3
Portland Trail Blazers,FALSE,29,12,82,34,17,13,-31
San Antonio Spurs,TRUE,44,14,91,36,16,12,31
Detroit Pistons,FALSE,36,11,80,27,26,20,-11
Phoenix Suns,TRUE,43,12,79,21,23,16,11
Memphis Grizzlies,TRUE,60,19,96,36,18,13,73
Oklahoma City Thunder,FALSE,25,11,76,38,22,18,-73
Toronto Raptors,TRUE,37,14,88,40,14,9,4
Milwaukee Bucks,FALSE,32,11,85,31,25,18,-4
Chicago Bulls,TRUE,44,11,89,29,21,20,4
New York Knicks,FALSE,42,9,82,26,27,22,-4
Boston Celtics,FALSE,47,14,91,39,22,22,-7
Utah Jazz,TRUE,45,27,81,51,23,20,7
Houston Rockets,TRUE,44,17,92,47,15,13,2
Orlando Magic,FALSE,42,13,86,37,21,19,-2
Minnesota Timberwolves,FALSE,36,13,93,42,24,20,-5
Brooklyn Nets,TRUE,36,6,76,23,41,32,5
Phoenix Suns,FALSE,31,8,81,22,35,26,-22
Golden State Warriors,TRUE,45,19,92,39,12,9,22
Miami Heat,TRUE,43,16,81,34,13,11,9
Indiana Pacers,FALSE,35,9,80,36,33,25,-9
Washington Wizards,FALSE,38,10,82,31,19,15,-15
Cleveland Cavaliers,TRUE,42,13,89,30,25,19,15
LA Clippers,TRUE,41,16,81,35,24,21,4
Los Angeles Lakers,FALSE,45,12,90,33,21,13,-4
Dallas Mavericks,FALSE,32,10,79,34,26,17,-16
New Orleans Pelicans,TRUE,37,12,90,30,28,21,16
Atlanta Hawks,FALSE,31,10,76,28,30,24,-2
Philadelphia 76ers,TRUE,38,9,81,22,17,13,2
Sacramento Kings,TRUE,36,12,86,34,25,20,5
LA Clippers,FALSE,34,13,89,34,27,18,-5
Memphis Grizzlies,TRUE,37,9,76,26,24,14,7
Dallas Mavericks,FALSE,31,15,92,43,19,13,-7
Golden State Warriors,FALSE,40,13,90,39,21,14,-5
San Antonio Spurs,TRUE,42,12,88,35,19,16,5
Milwaukee Bucks,TRUE,44,18,98,50,20,18,22
Miami Heat,FALSE,34,17,84,43,24,17,-22
Brooklyn Nets,FALSE,46,8,111,25,9,7,-4
Chicago Bulls,TRUE,41,10,86,31,27,19,4
Boston Celtics,TRUE,49,21,87,37,29,26,28
Portland Trail Blazers,FALSE,42,8,89,29,32,25,-28
New York Knicks,FALSE,35,12,88,40,21,17,-14
Denver Nuggets,TRUE,44,20,84,43,5,5,14
Houston Rockets,TRUE,39,17,79,40,29,23,10
New Orleans Pelicans,FALSE,40,10,94,38,25,18,-10
Atlanta Hawks,FALSE,48,17,93,37,18,14,-3
Charlotte Hornets,TRUE,46,17,86,37,28,21,3
Toronto Raptors,TRUE,38,8,85,23,24,18,12
Washington Wizards,FALSE,30,8,73,25,29,22,-12
Cleveland Cavaliers,FALSE,42,14,91,38,13,10,-1
Utah Jazz,TRUE,40,20,90,48,10,9,1
Chicago Bulls,TRUE,41,13,91,35,20,14,12
Denver Nuggets,FALSE,38,11,96,32,15,10,-12
Atlanta Hawks,TRUE,40,25,90,49,19,16,11
Minnesota Timberwolves,FALSE,39,17,98,40,19,15,-11
Miami Heat,FALSE,35,6,76,22,17,14,-15
Memphis Grizzlies,TRUE,38,13,89,33,21,16,15
Charlotte Hornets,FALSE,48,16,107,46,17,12,-3
Philadelphia 76ers,TRUE,46,15,87,36,27,20,3
Oklahoma City Thunder,TRUE,41,9,82,25,30,23,11
Detroit Pistons,FALSE,41,16,99,41,6,5,-11
Indiana Pacers,TRUE,43,9,82,23,22,21,6
Washington Wizards,FALSE,43,7,81,15,21,17,-6
Orlando Magic,FALSE,33,11,76,38,22,18,-31
Golden State Warriors,TRUE,43,20,87,40,29,20,31
Portland Trail Blazers,FALSE,35,5,79,22,20,15,-12
LA Clippers,TRUE,41,11,92,36,14,9,12
Phoenix Suns,TRUE,43,10,94,29,18,12,4
San Antonio Spurs,FALSE,40,11,93,29,19,13,-4
Cleveland Cavaliers,FALSE,35,15,90,46,20,19,-8
Milwaukee Bucks,TRUE,40,13,86,32,24,19,8
Boston Celtics,FALSE,36,10,82,33,29,20,-15
Los Angeles Lakers,TRUE,48,8,93,27,17,13,15
New York Knicks,TRUE,43,18,91,38,19,17,12
San Antonio Spurs,FALSE,41,12,92,31,20,15,-12
Brooklyn Nets,TRUE,42,8,83,26,13,10,3
Dallas Mavericks,FALSE,36,9,90,46,22,18,-3
LA Clippers,TRUE,40,14,85,32,22,20,3
Boston Celtics,FALSE,41,10,86,32,21,19,-3
Orlando Magic,FALSE,48,16,97,34,23,18,-12
Sacramento Kings,TRUE,53,15,97,34,25,21,12
New Orleans Pelicans,FALSE,47,11,90,30,12,9,-6
Denver Nuggets,TRUE,45,9,88,32,27,21,6
Memphis Grizzlies,FALSE,36,9,90,31,25,15,-8
Dallas Mavericks,TRUE,37,12,77,33,23,18,8
Houston Rockets,TRUE,40,14,81,41,29,20,10
Brooklyn Nets,FALSE,35,8,89,33,31,26,-10
Minnesota Timberwolves,FALSE,38,17,95,47,17,11,-32
Utah Jazz,TRUE,50,25,88,54,15,11,32
Miami Heat,TRUE,40,22,77,47,12,11,9
Milwaukee Bucks,FALSE,36,12,85,39,27,20,-9
Oklahoma City Thunder,TRUE,38,17,84,40,20,17,1
Toronto Raptors,FALSE,42,15,93,41,15,10,-1
Washington Wizards,TRUE,42,12,88,32,28,23,3
Detroit Pistons,FALSE,37,13,79,24,35,29,-3
Philadelphia 76ers,TRUE,36,13,75,34,30,25,4
Charlotte Hornets,FALSE,39,10,80,29,21,18,-4
Cleveland Cavaliers,TRUE,44,13,80,28,16,14,23
Chicago Bulls,FALSE,35,7,84,26,21,15,-23
Indiana Pacers,TRUE,46,10,86,27,25,20,20
New York Knicks,FALSE,36,9,86,30,23,21,-20
Golden State Warriors,TRUE,33,14,83,46,31,24,10
Portland Trail Blazers,FALSE,33,8,80,30,28,20,-10
San Antonio Spurs,TRUE,46,15,88,35,22,16,12
Denver Nuggets,FALSE,42,15,94,39,13,12,-12
Memphis Grizzlies,TRUE,41,14,94,42,18,12,13
Los Angeles Lakers,FALSE,36,12,78,30,17,11,-13
Utah Jazz,TRUE,43,15,91,40,24,17,22
Philadelphia 76ers,FALSE,38,6,88,33,15,14,-22
Dallas Mavericks,FALSE,39,4,84,29,12,11,-13
Indiana Pacers,TRUE,41,13,87,36,12,11,13
New Orleans Pelicans,TRUE,41,13,95,37,16,14,16
Detroit Pistons,FALSE,35,12,90,37,12,11,-16
Boston Celtics,FALSE,35,4,93,26,24,16,-21
Phoenix Suns,TRUE,43,14,96,38,11,11,21
Houston Rockets,FALSE,42,19,89,46,20,11,-9
Milwaukee Bucks,TRUE,42,15,83,39,32,24,9
Cleveland Cavaliers,TRUE,46,13,85,33,22,18,17
Minnesota Timberwolves,FALSE,36,11,92,39,28,23,-17
Oklahoma City Thunder,FALSE,38,10,96,44,14,9,-21
Los Angeles Lakers,TRUE,41,19,87,42,20,15,21
Brooklyn Nets,TRUE,46,6,93,23,16,15,8
Atlanta Hawks,FALSE,37,11,94,34,24,20,-8
New York Knicks,FALSE,29,9,81,34,24,20,-3
Toronto Raptors,TRUE,30,12,87,35,23,18,3
Charlotte Hornets,TRUE,48,14,87,35,20,14,1
Sacramento Kings,FALSE,48,14,101,41,17,13,-1
Golden State Warriors,FALSE,34,12,85,48,18,13,-9
Philadelphia 76ers,TRUE,35,9,76,27,26,23,9
Denver Nuggets,TRUE,47,20,93,43,14,13,15
San Antonio Spurs,FALSE,41,10,89,27,29,20,-15
Orlando Magic,FALSE,35,12,80,33,24,22,-2
LA Clippers,TRUE,42,18,92,36,6,4,2
Houston Rockets,FALSE,38,11,77,33,29,19,-7
Memphis Grizzlies,TRUE,40,11,80,29,36,22,7
Cleveland Cavaliers,TRUE,41,12,88,31,28,23,14
Sacramento Kings,FALSE,41,7,93,28,22,14,-14
Miami Heat,TRUE,46,19,93,43,9,7,26
Chicago Bulls,FALSE,31,17,83,40,20,13,-26
Utah Jazz,TRUE,48,13,93,39,17,14,25
Washington Wizards,FALSE,41,8,89,25,14,8,-25
Los Angeles Lakers,TRUE,41,13,84,28,17,11,12
Orlando Magic,FALSE,33,13,88,38,19,15,-12
Minnesota Timberwolves,TRUE,38,14,85,36,32,26,5
Portland Trail Blazers,FALSE,37,18,81,48,28,19,-5
San Antonio Spurs,TRUE,45,7,91,25,20,15,15
New Orleans Pelicans,FALSE,40,8,94,29,15,9,-15
Dallas Mavericks,TRUE,38,9,90,33,23,18,19
Oklahoma City Thunder,FALSE,30,13,80,37,16,11,-19
Brooklyn Nets,TRUE,41,11,87,28,25,23,12
Detroit Pistons,FALSE,39,14,92,37,18,12,-12
Milwaukee Bucks,TRUE,42,14,88,41,17,14,15
New York Knicks,FALSE,35,17,82,49,13,10,-15
Houston Rockets,TRUE,46,19,96,46,27,21,6
Atlanta Hawks,FALSE,42,15,85,39,31,27,-6
Memphis Grizzlies,TRUE,47,14,89,34,23,18,35
Philadelphia 76ers,FALSE,37,4,83,22,19,13,-35
Boston Celtics,TRUE,43,20,86,47,13,11,14
Milwaukee Bucks,FALSE,40,11,90,36,15,12,-14
Golden State Warriors,TRUE,42,8,84,30,14,10,2
Indiana Pacers,FALSE,35,7,87,30,31,23,-2
Cleveland Cavaliers,TRUE,36,16,81,36,18,17,11
Miami Heat,FALSE,38,13,85,40,9,5,-11
Toronto Raptors,TRUE,53,11,98,31,10,7,23
Sacramento Kings,FALSE,38,11,94,34,21,14,-23
Phoenix Suns,FALSE,36,7,96,29,19,16,-16
LA Clippers,TRUE,43,9,78,21,23,16,16
Denver Nuggets,TRUE,37,10,79,32,33,29,6
Washington Wizards,FALSE,41,12,90,34,21,13,-6
Dallas Mavericks,TRUE,43,19,83,41,17,15,24
Charlotte Hornets,FALSE,34,13,86,37,24,15,-24
Phoenix Suns,TRUE,44,11,93,31,15,12,4
Portland Trail Blazers,FALSE,40,13,96,41,22,14,-4
Toronto Raptors,FALSE,48,18,105,52,19,15,-2
Brooklyn Nets,TRUE,50,14,103,39,23,17,2
Golden State Warriors,TRUE,35,15,77,40,27,20,9
New York Knicks,FALSE,30,16,83,42,22,20,-9
Portland Trail Blazers,FALSE,31,15,82,38,28,26,-10
Memphis Grizzlies,TRUE,39,11,82,32,30,24,10
LA Clippers,FALSE,40,10,85,30,20,13,-21
Utah Jazz,TRUE,47,15,89,37,20,15,21
Sacramento Kings,TRUE,45,8,82,26,29,21,14
Washington Wizards,FALSE,42,5,89,24,21,16,-14
Minnesota Timberwolves,TRUE,45,23,88,48,16,11,17
Denver Nuggets,FALSE,38,14,84,39,23,17,-17
Charlotte Hornets,TRUE,51,18,86,34,16,11,16
San Antonio Spurs,FALSE,39,12,90,37,25,25,-16
Oklahoma City Thunder,FALSE,39,13,93,35,19,19,-3
New Orleans Pelicans,TRUE,39,11,80,28,36,24,3
Los Angeles Lakers,TRUE,39,15,90,39,18,14,3
Dallas Mavericks,FALSE,39,12,98,44,17,14,-3
Indiana Pacers,FALSE,39,11,83,38,11,10,-15
Milwaukee Bucks,TRUE,44,14,90,29,15,12,15
Miami Heat,TRUE,35,18,78,44,17,13,5
Philadelphia 76ers,FALSE,35,12,79,37,17,14,-5
Orlando Magic,FALSE,35,10,90,35,21,19,-12
Atlanta Hawks,TRUE,42,11,85,31,16,16,12
Cleveland Cavaliers,TRUE,45,18,80,40,24,16,35
Houston Rockets,FALSE,30,5,78,29,35,24,-35
Phoenix Suns,TRUE,42,9,79,29,26,25,20
Washington Wizards,FALSE,40,6,82,21,19,12,-20
New York Knicks,TRUE,39,17,83,36,25,21,13
Houston Rockets,FALSE,34,11,68,32,30,24,-13
Philadelphia 76ers,FALSE,39,10,89,34,20,17,-9
Brooklyn Nets,TRUE,44,11,89,23,16,15,9
Indiana Pacers,TRUE,45,7,91,32,28,25,9
Detroit Pistons,FALSE,40,7,81,25,30,26,-9
Minnesota Timberwolves,TRUE,41,12,98,44,24,16,18
Los Angeles Lakers,FALSE,30,12,78,43,29,20,-18
Milwaukee Bucks,FALSE,45,14,104,47,10,8,-4
New Orleans Pelicans,TRUE,42,13,89,37,30,19,4
Golden State Warriors,TRUE,39,16,90,46,21,17,4
Boston Celtics,FALSE,36,15,82,41,29,20,-4
Sacramento Kings,FALSE,36,13,88,35,26,20,-19
Memphis Grizzlies,TRUE,45,13,97,24,27,21,19
Charlotte Hornets,FALSE,44,13,92,37,18,15,-9
Portland Trail Blazers,TRUE,44,21,85,47,18,16,9
Utah Jazz,FALSE,46,13,93,37,26,21,-2
San Antonio Spurs,TRUE,50,15,100,41,18,13,2
Atlanta Hawks,FALSE,41,7,88,24,34,26,-18
Denver Nuggets,TRUE,50,17,86,38,18,16,18
Miami Heat,TRUE,41,19,82,35,19,14,10
Orlando Magic,FALSE,43,11,89,32,10,8,-10
Houston Rockets,TRUE,46,14,93,38,17,10,9
Detroit Pistons,FALSE,43,10,93,36,16,11,-9
Orlando Magic,TRUE,39,10,94,31,13,12,7
Brooklyn Nets,FALSE,39,9,102,46,8,6,-7
Washington Wizards,TRUE,42,9,94,31,20,16,6
Utah Jazz,FALSE,35,14,81,44,30,19,-6
Cleveland Cavaliers,TRUE,45,16,90,45,14,13,29
Milwaukee Bucks,FALSE,35,12,89,38,11,8,-29
Oklahoma City Thunder,TRUE,43,12,92,31,10,6,1
LA Clippers,FALSE,37,16,83,39,19,13,-1
Golden State Warriors,FALSE,37,11,79,36,21,15,-19
Toronto Raptors,TRUE,45,14,90,38,23,15,19
New York Knicks,FALSE,35,13,80,36,30,24,-7
Boston Celtics,TRUE,42,17,89,45,17,13,7
Minnesota Timberwolves,TRUE,36,15,77,34,31,24,6
Dallas Mavericks,FALSE,36,12,82,41,22,21,-6
Chicago Bulls,TRUE,40,10,93,30,31,25,5
Los Angeles Lakers,FALSE,42,12,82,34,22,14,-5
Phoenix Suns,TRUE,54,20,95,41,13,9,31
Charlotte Hornets,FALSE,36,10,100,45,28,24,-31
Detroit Pistons,TRUE,35,8,75,32,30,22,10
Miami Heat,FALSE,28,13,74,43,33,21,-10
Memphis Grizzlies,FALSE,35,9,91,34,25,21,-5
Portland Trail Blazers,TRUE,35,11,74,32,28,24,5
San Antonio Spurs,FALSE,45,12,91,25,13,12,-7
Sacramento Kings,TRUE,46,14,91,25,18,15,7
Golden State Warriors,TRUE,46,15,88,37,9,6,15
Sacramento Kings,FALSE,37,13,83,32,16,11,-15
Charlotte Hornets,FALSE,39,15,101,43,9,9,-10
Utah Jazz,TRUE,34,16,96,53,37,28,10
LA Clippers,FALSE,34,9,87,32,20,15,-24
San Antonio Spurs,TRUE,50,12,114,37,6,4,24
Memphis Grizzlies,FALSE,39,11,101,32,13,10,-3
Oklahoma City Thunder,TRUE,36,11,84,38,28,19,3
Houston Rockets,FALSE,44,12,78,33,24,18,-15
Chicago Bulls,TRUE,47,16,88,35,24,23,15
Philadelphia 76ers,TRUE,36,10,72,25,31,26,5
Boston Celtics,FALSE,38,7,82,27,25,20,-5
Phoenix Suns,TRUE,41,12,93,41,15,14,18
Los Angeles Lakers,FALSE,34,7,87,35,23,15,-18
Minnesota Timberwolves,FALSE,36,13,79,40,20,17,-12
Dallas Mavericks,TRUE,42,11,86,34,23,19,12
Portland Trail Blazers,FALSE,35,13,78,34,19,14,-14
New Orleans Pelicans,TRUE,42,12,80,33,18,15,14
Detroit Pistons,FALSE,34,8,94,33,19,15,-14
New York Knicks,TRUE,40,11,90,33,19,14,14
Indiana Pacers,FALSE,31,11,87,31,28,23,-29
Miami Heat,TRUE,47,22,95,49,11,9,29
LA Clippers,TRUE,42,7,82,24,16,14,16
Sacramento Kings,FALSE,34,12,85,38,12,9,-16
Milwaukee Bucks,TRUE,45,17,103,46,21,19,20
Houston Rockets,FALSE,36,13,86,45,31,21,-20
Oklahoma City Thunder,TRUE,42,8,94,34,19,16,14
Denver Nuggets,FALSE,33,13,84,44,26,15,-14
Cleveland Cavaliers,FALSE,36,9,92,38,24,20,-10
Boston Celtics,TRUE,43,11,92,30,18,14,10
Atlanta Hawks,FALSE,32,12,80,31,29,22,-6
Orlando Magic,TRUE,38,11,85,37,23,17,6
San Antonio Spurs,TRUE,46,18,95,39,33,28,28
Los Angeles Lakers,FALSE,44,5,94,27,30,17,-28
Memphis Grizzlies,FALSE,38,8,90,26,24,20,-9
Golden State Warriors,TRUE,40,19,82,40,18,14,9
Charlotte Hornets,TRUE,39,16,94,47,24,21,8
Denver Nuggets,FALSE,40,14,96,40,17,13,-8
Utah Jazz,TRUE,48,16,90,39,22,16,12
Minnesota Timberwolves,FALSE,45,17,101,45,12,9,-12
Oklahoma City Thunder,FALSE,37,11,96,41,21,16,-12
Phoenix Suns,TRUE,45,15,93,39,13,8,12
Milwaukee Bucks,TRUE,37,10,82,36,22,18,7
Dallas Mavericks,FALSE,35,12,86,45,17,13,-7
Detroit Pistons,FALSE,36,18,80,40,25,22,-3
Miami Heat,TRUE,43,12,88,32,19,17,3
Washington Wizards,TRUE,42,16,75,37,32,24,7
New York Knicks,FALSE,42,13,93,42,23,20,-7
Atlanta Hawks,TRUE,37,7,82,24,19,17,2
